Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,MtCO2e,94.44,94.55,96.63,97.00,99.62,104.03,105.10,106.21,110.45,111.37,117.05,117.43,117.81,121.13,120.74,122.83,121.21,124.62,120.71,113.81,107.10,107.17,102.01,94.37,91.31,89.58,88.31,87.92,86.14
Romania,MtCO2e,245.92,203.46,182.02,170.57,167.11,172.66,175.94,163.31,145.80,130.19,134.81,138.07,134.98,140.81,137.89,136.30,137.74,133.95,131.91,115.28,112.18,-165.52,-168.24,-177.81,-178.71,-177.03,82.96,85.69,86.13
Oman,MtCO2e,14.79,19.16,18.13,17.47,17.38,19.32,19.70,21.28,21.51,24.85,27.10,29.87,31.51,32.24,32.12,32.53,42.44,46.22,45.55,48.44,52.48,58.73,65.34,68.28,72.07,76.26,77.85,78.51,82.32
Azerbaijan,MtCO2e,75.17,84.19,60.44,68.59,62.05,60.01,55.36,55.45,56.29,56.60,58.71,58.80,59.73,57.43,58.72,62.71,65.74,64.40,71.98,72.90,77.18,79.47,80.64,80.18,80.36,79.18,79.97,78.61,78.35
Kenya,MtCO2e,34.15,32.92,32.92,32.72,32.98,33.33,32.87,32.90,34.26,36.48,35.50,54.32,55.22,56.18,58.81,59.19,59.65,76.44,77.78,78.20,79.81,75.37,74.73,76.73,79.66,82.31,71.93,69.13,71.21
New Zealand,MtCO2e,45.17,44.62,45.48,44.56,46.29,47.55,48.09,50.39,48.89,51.14,51.29,57.05,58.59,61.02,59.66,61.17,61.43,60.14,60.16,57.36,57.14,62.69,64.95,64.53,65.02,64.97,69.80,71.45,70.71
Uganda,MtCO2e,34.00,34.55,34.87,35.31,35.06,35.88,36.70,38.19,39.76,39.72,39.64,39.45,40.41,42.31,42.53,44.79,44.25,47.72,54.95,55.99,58.84,59.58,61.57,62.54,64.26,66.07,68.72,69.83,70.71
Cambodia,MtCO2e,25.99,25.80,26.45,27.38,26.30,28.47,24.76,26.06,29.56,29.09,27.43,28.04,30.49,33.00,33.89,32.38,35.82,36.76,36.52,38.12,36.96,101.28,99.66,100.10,100.75,103.41,68.73,70.81,69.15
South Sudan,MtCO2e,36.66,37.56,40.03,42.06,43.97,44.75,48.88,53.72,59.09,62.44,64.80,59.79,63.54,66.34,68.63,71.98,70.90,74.71,75.66,77.69,76.90,73.36,74.53,70.42,67.66,64.74,68.58,65.83,68.49
Austria,MtCO2e,62.79,66.99,61.20,61.12,61.22,63.69,67.41,66.40,66.38,64.56,64.76,76.39,77.69,82.77,83.59,83.63,81.31,78.22,77.79,70.83,76.55,73.72,70.50,71.05,67.28,68.41,68.53,70.71,67.85
Portugal,MtCO2e,57.84,59.56,63.58,62.50,64.41,68.18,66.63,68.93,74.08,80.82,80.33,78.72,83.60,78.71,80.60,83.70,78.41,76.99,74.74,73.87,68.60,66.31,64.62,62.92,62.51,66.64,66.81,71.77,67.15
