Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mauritius,MtCO2e,0.40,0.41,0.47,0.48,0.50,0.48,0.52,0.54,0.78,1.09,1.31,1.27,1.16,1.09,1.17,1.33,1.30,1.41,1.48,1.35,1.48,1.67,1.63,1.58,1.68,1.72,1.99,2.45,2.82
Morocco,MtCO2e,0.86,0.63,0.72,0.75,0.70,0.78,0.80,0.84,0.94,0.97,0.96,0.94,0.95,0.96,1.10,1.25,1.40,1.62,1.62,1.63,2.21,2.22,2.04,2.19,2.36,2.48,2.48,2.59,2.77
Pakistan,MtCO2e,1.52,1.62,1.71,1.81,1.77,1.77,1.60,1.63,2.07,2.13,2.06,2.06,2.39,2.12,2.54,2.72,2.69,2.39,2.61,2.94,2.84,2.53,2.43,2.56,2.25,2.36,2.52,2.61,2.76
Egypt,MtCO2e,5.84,5.91,4.98,5.54,8.89,8.74,10.88,10.98,8.23,10.11,10.56,8.84,8.51,11.06,8.12,6.94,5.98,6.32,4.39,4.08,4.04,3.75,3.79,2.63,2.69,2.23,1.56,2.33,2.61
Austria,MtCO2e,0.92,1.02,1.09,1.15,1.21,1.36,1.49,1.55,1.63,1.57,1.72,1.68,1.59,1.49,1.77,1.99,2.07,2.20,2.20,1.91,2.05,2.14,2.08,2.00,1.99,2.14,2.33,2.26,2.51
Chile,MtCO2e,1.15,1.18,1.22,1.34,1.69,1.78,1.49,1.77,2.27,2.42,3.02,3.23,3.21,3.88,4.17,4.39,5.17,5.19,5.29,3.96,2.83,2.91,2.67,2.56,2.60,2.11,2.17,2.29,2.45
Ethiopia,MtCO2e,0.56,0.58,0.12,0.15,0.19,0.20,0.19,0.17,0.17,0.19,0.21,0.25,0.24,0.23,0.34,0.46,0.56,0.69,0.68,0.78,1.01,1.01,1.18,1.30,1.45,1.52,1.88,2.17,2.32
Norway,MtCO2e,2.66,2.44,2.81,2.86,3.23,3.32,3.56,4.18,3.95,4.03,3.65,3.62,3.28,2.48,2.45,3.24,2.79,3.21,2.65,2.62,2.51,2.46,2.24,2.60,1.97,2.21,1.88,2.17,2.31
Kenya,MtCO2e,1.40,1.20,1.42,1.61,1.94,1.56,1.59,1.56,1.57,1.66,1.59,1.69,1.65,1.76,1.93,2.00,2.10,2.29,2.00,2.03,1.84,2.34,2.33,1.88,1.81,2.16,2.11,2.22,2.30
Angola,MtCO2e,1.06,0.91,0.83,0.94,1.34,1.21,1.05,1.06,0.68,1.19,1.43,1.55,1.33,0.80,1.30,0.91,0.81,1.22,1.31,1.19,1.55,1.38,2.17,1.91,2.49,2.56,2.02,2.02,2.08
